model,noise_sigma,denoise_method,Accuracy,F1-Score,Sensitivity,Specificity,Precision,TP,FP,FN,TN
yolov8-resnet18,0,noisy,0.724,0.7349,0.7865,0.6649,0.6897,140,63,38,125
yolov8-resnet50,0,noisy,0.7344,0.7421,0.7966,0.6771,0.6946,141,62,36,130
yolov8-resnet18-gam,0,noisy,0.7418,0.7552,0.8011,0.6831,0.7143,145,58,36,125
yolov8-resnet18,1,noisy,0.6357,0.6448,0.6598,0.6114,0.6305,128,75,66,118
yolov8-resnet50,1,noisy,0.7109,0.7218,0.7347,0.6862,0.7094,144,59,52,129
yolov8-resnet18-gam,1,noisy,0.7005,0.7132,0.7222,0.6774,0.7044,143,60,55,126
yolov8-resnet18,5,noisy,0.7139,0.7325,0.7747,0.6517,0.6946,141,62,41,116
yolov8-resnet50,5,noisy,0.7128,0.7143,0.7714,0.6617,0.665,135,68,40,133
yolov8-resnet18-gam,5,noisy,0.6985,0.7209,0.6828,0.7193,0.7635,155,48,72,123
yolov8-resnet18,10,noisy,0.6415,0.6637,0.6024,0.6971,0.7389,150,53,99,122
yolov8-resnet50,10,noisy,0.7171,0.7171,0.7101,0.7241,0.7241,147,56,60,147
yolov8-resnet18-gam,10,noisy,0.7202,0.7202,0.7596,0.6847,0.6847,139,64,44,139
yolov8-resnet18,20,noisy,0.6869,0.6915,0.6985,0.6751,0.6847,139,64,60,133
yolov8-resnet50,20,noisy,0.6766,0.6846,0.627,0.7396,0.7537,153,50,91,142
yolov8-resnet18-gam,20,noisy,0.672,0.6853,0.7068,0.6364,0.665,135,68,56,119
yolov8-resnet18,30,noisy,0.7074,0.7277,0.7313,0.68,0.7241,147,56,54,119
yolov8-resnet50,30,noisy,0.7166,0.7282,0.7594,0.6738,0.6995,142,61,45,126
yolov8-resnet18-gam,30,noisy,0.6957,0.6987,0.7188,0.6734,0.6798,138,65,54,134
yolov8-resnet18,0,gaussian_filter,0.725,0.7388,0.7955,0.6576,0.6897,140,63,36,121
yolov8-resnet50,0,gaussian_filter,0.7216,0.7366,0.7295,0.7127,0.7438,151,52,56,129
yolov8-resnet18-gam,0,gaussian_filter,0.7304,0.6995,0.7853,0.6939,0.6305,128,75,35,170
yolov8-resnet18,1,gaussian_filter,0.7026,0.7056,0.7277,0.6784,0.6847,139,64,52,135
yolov8-resnet50,1,gaussian_filter,0.6854,0.7021,0.6609,0.7167,0.7488,152,51,78,129
yolov8-resnet18-gam,1,gaussian_filter,0.7135,0.7363,0.7437,0.6784,0.7291,148,55,51,116
yolov8-resnet18,5,gaussian_filter,0.7046,0.7093,0.7733,0.6447,0.6552,133,70,39,127
yolov8-resnet50,5,gaussian_filter,0.7217,0.721,0.7228,0.7206,0.7192,146,57,56,147
yolov8-resnet18-gam,5,gaussian_filter,0.7109,0.7212,0.75,0.672,0.6946,141,62,47,127
yolov8-resnet18,10,gaussian_filter,0.6834,0.6769,0.7059,0.6635,0.6502,132,71,55,140
