dataset,sigma,method,image,rho_1,rho_ratio_1,rho_phase_1,E_band1_clean,rho_2,rho_ratio_2,rho_phase_2,E_band2_clean,rho_3,rho_ratio_3,rho_phase_3,E_band3_clean,rho_4,rho_ratio_4,rho_phase_4,E_band4_clean
PnPLO,1,bm3d,image (104).jpg,0.9999982633660819,0.9999982633660819,0.9984765734755144,721264065307812.9,0.9996889829916968,1.0003110170083032,0.9713069266226985,5539565002149.454,0.9984476481283983,0.9984476481283983,0.9471179064457034,2506257707771.921,0.9992704539213435,0.9992704539213435,0.8885127983142384,1044233820243.5706
PnPLO,1,gaussian_filter,image (104).jpg,0.9969970357971515,0.9969970357971515,0.9864133187817106,721264065307812.9,0.3586601108695301,0.35866011086953,0.548661103968374,5539565002149.454,0.08086338985471586,0.08086338985471586,0.18925117165033267,2506257707771.921,0.08460709226754626,0.08460709226754624,0.07154632439072617,1044233820243.5706
PnPLO,1,autoencoder,image (104).jpg,0.7744050980452263,0.7744050980452263,0.5329965756838085,721264065307812.9,0.9302440627131658,1.0697559372868342,0.3257105219727071,5539565002149.454,0.3494667136333165,0.3494667136333165,-0.007861886566345344,2506257707771.921,0.42053462623506344,0.4205346262350633,-0.11515603530976515,1044233820243.5706
PnPLO,1,dncnn,image (104).jpg,0.7812287617893624,0.7812287617893624,0.5332500902625823,721264065307812.9,0.808745186921887,1.1912548130781129,0.4824106444013183,5539565002149.454,0.8258174564723069,1.1741825435276931,0.49832352971041527,2506257707771.921,0.6805666682494649,1.3194333317505351,0.3560898435205714,1044233820243.5706
PnPLO,1,cae_pso,image (104).jpg,0.7527440356359835,0.7527440356359835,0.5325160532996568,721264065307812.9,0.9704484216511693,1.0295515783488307,0.38709497120148617,5539565002149.454,0.3464512846179315,0.3464512846179315,0.0219201941856626,2506257707771.921,0.44206452836917276,0.4420645283691727,-0.11107369806890977,1044233820243.5706
PnPLO,1,bm3d,image (121).jpg,0.999909325856289,0.999909325856289,0.9974504562598552,259240196655862.75,0.9999618333542679,0.9999618333542679,0.9670274006494849,4383644366676.0483,0.9977144166597908,0.9977144166597908,0.9356972464640609,1887472308699.3813,0.9989873211777801,0.9989873211777801,0.8811066197032069,1051165804385.395
PnPLO,1,gaussian_filter,image (121).jpg,0.9865372182949573,0.9865372182949573,0.9722604478973422,259240196655862.75,0.348224813449559,0.3482248134495589,0.5407970085934433,4383644366676.0483,0.07487455120881836,0.07487455120881838,0.18673404776522506,1887472308699.3813,0.0547200052672937,0.05472000526729371,0.054039550978357775,1051165804385.395
PnPLO,1,autoencoder,image (121).jpg,0.747090434157482,0.7470904341574819,0.5031926656360619,259240196655862.75,0.7647886871352243,0.7647886871352243,0.3906015811450284,4383644366676.0483,0.17017912711607097,0.170179127116071,0.057744410372363775,1887472308699.3813,0.120843904671742,0.12084390467174191,-0.024233797897072584,1051165804385.395
PnPLO,1,dncnn,image (121).jpg,0.7568892453611783,0.7568892453611783,0.5040331513118087,259240196655862.75,0.9411711079802385,0.9411711079802385,0.5525831820971319,4383644366676.0483,0.9186075189938095,0.9186075189938095,0.5343653073059955,1887472308699.3813,0.9046267308967426,0.9046267308967426,0.4676249587079707,1051165804385.395
PnPLO,1,cae_pso,image (121).jpg,0.7468809049275653,0.7468809049275653,0.502771053404773,259240196655862.75,0.8580480320276168,0.8580480320276168,0.4469830612057455,4383644366676.0483,0.2087892958844233,0.20878929588442327,0.10401550631123868,1887472308699.3813,0.13736004054135909,0.1373600405413591,-0.00848608487281366,1051165804385.395
PnPLO,1,bm3d,image (123).jpg,0.9999334943899183,1.0000665056100817,0.9978790816028998,373816600507077.06,0.999749503927685,0.999749503927685,0.9436495723734247,1473830800731.7905,0.9975106787251082,0.9975106787251082,0.8850435253990998,575195285841.1476,0.995264537504612,0.995264537504612,0.8003168192416654,378038095729.5908
PnPLO,1,gaussian_filter,image (123).jpg,0.9975066944037905,0.9975066944037905,0.9888859098834155,373816600507077.06,0.5307494288704195,0.5307494288704195,0.6104046194268018,1473830800731.7905,0.3466788186012757,0.3466788186012757,0.31445011472112516,575195285841.1476,0.34920027877052295,0.349200278770523,0.2126769834134078,378038095729.5908
PnPLO,1,autoencoder,image (123).jpg,0.6337484139877418,0.6337484139877418,0.39130064842003076,373816600507077.06,0.7865489068659517,0.7865489068659518,-0.04679330831340045,1473830800731.7905,0.4812585607171618,0.4812585607171618,-0.1910730098418736,575195285841.1476,0.4352567068768771,0.4352567068768771,-0.22295303257386534,378038095729.5908
PnPLO,1,dncnn,image (123).jpg,0.6290176355257329,0.6290176355257328,0.3914993378654601,373816600507077.06,0.8989997816633819,0.8989997816633819,0.025965815758746347,1473830800731.7905,0.9920784381920111,1.0079215618079889,0.04630124886825593,575195285841.1476,0.9465088915980362,1.0534911084019638,0.01636038572529186,378038095729.5908
PnPLO,1,cae_pso,image (123).jpg,0.6221408440802303,0.6221408440802303,0.39125332323329765,373816600507077.06,0.8089438688226036,0.8089438688226036,-0.03169403985205488,1473830800731.7905,0.5166077754694056,0.5166077754694056,-0.19239281029031807,575195285841.1476,0.472189833778081,0.472189833778081,-0.24447792831470605,378038095729.5908
PnPLO,1,bm3d,image (126).jpg,0.9999575948494217,0.9999575948494217,0.9985008847652274,761136403219948.6,0.999511195639388,1.000488804360612,0.9753161196033163,8223079315342.476,0.9996589698336886,1.0003410301663114,0.9581992747592576,4791653952495.322,0.999305951811566,1.000694048188434,0.9222393540169104,3102287708048.2285
PnPLO,1,gaussian_filter,image (126).jpg,0.9943624207349758,0.9943624207349758,0.9811543383583339,761136403219948.6,0.3095712656825712,0.30957126568257126,0.5189084814271315,8223079315342.476,0.03563139061346887,0.03563139061346883,0.16289915377705466,4791653952495.322,0.005801296553153867,0.005801296553153816,0.02953477123563586,3102287708048.2285
PnPLO,1,autoencoder,image (126).jpg,0.8235571320147181,0.8235571320147181,0.6223366580562556,761136403219948.6,0.6530192160518113,0.6530192160518113,0.35330344180274453,8223079315342.476,0.11323557523229899,0.11323557523229894,0.010153612380329524,4791653952495.322,0.06934128971277531,0.06934128971277526,-0.020730773739098485,3102287708048.2285
PnPLO,1,dncnn,image (126).jpg,0.8608107960215181,0.8608107960215181,0.6233710687263888,761136403219948.6,0.9177490277967928,0.9177490277967928,0.5377316717388844,8223079315342.476,0.9012136224727112,0.9012136224727112,0.5551854426809559,4791653952495.322,0.9134661586819032,0.9134661586819032,0.5519585513809797,3102287708048.2285
PnPLO,1,cae_pso,image (126).jpg,0.8457711957609286,0.8457711957609286,0.6225209386469882,761136403219948.6,0.7723569435049489,0.772356943504949,0.43083587024985825,8223079315342.476,0.12600174006450682,0.12600174006450685,0.04302528978532261,4791653952495.322,0.0742691000135055,0.07426910001350544,-0.016052109234766077,3102287708048.2285
PnPLO,1,bm3d,image (128).jpg,0.999976382291338,0.999976382291338,0.9975889781792592,221947608555682.5,0.9993058459466823,0.9993058459466823,0.9707741661318022,4449357732152.602,0.9996452623588784,1.0003547376411215,0.9656737466387,5352634722879.724,0.9997077240828244,0.9997077240828244,0.9583056926121305,8220994130605.361
PnPLO,1,gaussian_filter,image (128).jpg,0.9946207028651652,0.9946207028651652,0.980871307870388,221947608555682.5,0.2966057104840253,0.29660571048402523,0.4940730312973176,4449357732152.602,0.040486176745068936,0.04048617674506898,0.15514429794168838,5352634722879.724,0.006792911285993464,0.00679291128599345,0.02469308789619662,8220994130605.361
PnPLO,1,autoencoder,image (128).jpg,0.9762277535849162,0.9762277535849162,0.891021082122264,221947608555682.5,0.8181209927427485,0.8181209927427485,0.34950433446262463,4449357732152.602,0.07735653248911123,0.07735653248911115,0.020129052512515733,5352634722879.724,0.02684170261421559,0.026841702614215597,-0.0008988079748146749,8220994130605.361
PnPLO,1,dncnn,image (128).jpg,0.9898636346270965,0.9898636346270965,0.8945064674707326,221947608555682.5,0.8506124541092539,1.149387545890746,0.6728577086514449,4449357732152.602,0.9726979279441772,1.0273020720558228,0.8196517303561943,5352634722879.724,0.9914772548973537,1.0085227451026464,0.8377826846629678,8220994130605.361
PnPLO,1,cae_pso,image (128).jpg,0.9793520965374883,0.9793520965374883,0.8892609447981663,221947608555682.5,0.9943294053733058,1.0056705946266942,0.4555846471444097,4449357732152.602,0.09986037620816357,0.09986037620816354,0.04544568674879368,5352634722879.724,0.028566346875207538,0.028566346875207514,0.0009279229731262717,8220994130605.361
PnPLO,1,bm3d,image (18).jpg,0.9995986752342744,0.9995986752342744,0.9985158295944967,821408276699184.4,0.9991358570330844,0.9991358570330844,0.9774617635422236,9646117587507.531,0.9992001849726212,0.9992001849726212,0.9614543928084431,5362298857723.199,0.9994323061419135,0.9994323061419135,0.9340476788130672,3999343281337.519
