dataset,sigma,method,image,rho_1,rho_ratio_1,rho_phase_1,E_band1_clean,rho_2,rho_ratio_2,rho_phase_2,E_band2_clean,rho_3,rho_ratio_3,rho_phase_3,E_band3_clean,rho_4,rho_ratio_4,rho_phase_4,E_band4_clean
VOC,1,bm3d,2008_002988_jpg.rf.0f7a977d3dab8c59312bb1cceefc680e.jpg,0.9999486558860006,0.9999486558860006,0.9984591947922536,3419784109082494.5,0.9996533088536873,0.9996533088536873,0.94269416971896,7261329463038.034,0.9987516190083172,1.0012483809916828,0.8460508254116674,1461962269918.7097,0.9806981855688385,1.0193018144311614,0.7222169610997844,721033196297.0144
VOC,1,gaussian_filter,2008_002988_jpg.rf.0f7a977d3dab8c59312bb1cceefc680e.jpg,0.9983206013989518,0.9983206013989518,0.9902514556173609,3419784109082494.5,0.39839817314404447,0.3983981731440444,0.5680271453318129,7261329463038.034,0.23217343089672549,0.23217343089672554,0.26944489484935363,1461962269918.7097,0.28895986270583596,0.2889598627058359,0.17915982008769282,721033196297.0144
VOC,1,autoencoder,2008_002988_jpg.rf.0f7a977d3dab8c59312bb1cceefc680e.jpg,0.9702618499612377,0.9702618499612377,0.8171767707507123,3419784109082494.5,0.9655029741599346,1.0344970258400654,0.30429676530729455,7261329463038.034,0.9172565980296828,0.9172565980296828,-0.18825965966810987,1461962269918.7097,0.7948597112498721,1.205140288750128,-0.2608652102995235,721033196297.0144
VOC,1,dncnn,2008_002988_jpg.rf.0f7a977d3dab8c59312bb1cceefc680e.jpg,0.9708003999206977,0.9708003999206977,0.8177112425964155,3419784109082494.5,0.7671967969404535,1.2328032030595464,0.4892846576857104,7261329463038.034,0.4993192246706514,1.5006807753293487,0.26904995642833374,1461962269918.7097,0.21467639141512518,1.785323608584875,0.11398044117948913,721033196297.0144
VOC,1,cae_pso,2008_002988_jpg.rf.0f7a977d3dab8c59312bb1cceefc680e.jpg,0.9516548836937403,0.9516548836937403,0.8167737278978248,3419784109082494.5,0.966137737931836,0.966137737931836,0.3751192895696519,7261329463038.034,0.9421426508503815,0.9421426508503815,-0.17983313907075038,1461962269918.7097,0.8499880075105873,1.1500119924894125,-0.24452099183760923,721033196297.0144
VOC,1,bm3d,2008_003611_jpg.rf.3402370ad522dbd414ee836b95039b7b.jpg,0.9999595339407961,0.9999595339407961,0.9977868134062523,1614693896590866.8,0.9998057570329609,0.9998057570329609,0.9654018811830319,17754981396581.84,0.9998387515795302,1.0001612484204698,0.961678262641211,18552794818924.09,0.9996051283926115,1.0003948716073885,0.9214925567885037,7700634543392.743
VOC,1,gaussian_filter,2008_003611_jpg.rf.3402370ad522dbd414ee836b95039b7b.jpg,0.998162025902906,0.998162025902906,0.989873034308244,1614693896590866.8,0.22958917293142755,0.22958917293142755,0.4329992090435455,17754981396581.84,0.05015205587008531,0.05015205587008539,0.18499868161485034,18552794818924.09,0.023697058505278923,0.023697058505278912,0.03422602332686775,7700634543392.743
VOC,1,autoencoder,2008_003611_jpg.rf.3402370ad522dbd414ee836b95039b7b.jpg,0.9025693723715245,0.9025693723715245,0.705754124134268,1614693896590866.8,0.32403990689566,0.3240399068956599,0.14640440677325706,17754981396581.84,0.04531054787659983,0.04531054787659988,0.004036212132775385,18552794818924.09,0.05293756371697245,0.05293756371697253,-0.02665972996032484,7700634543392.743
VOC,1,dncnn,2008_003611_jpg.rf.3402370ad522dbd414ee836b95039b7b.jpg,0.9177516436026245,0.9177516436026245,0.7061339303459875,1614693896590866.8,0.9406232102164898,0.9406232102164898,0.5431367496999671,17754981396581.84,0.9328439685253149,0.9328439685253149,0.6404147735445276,18552794818924.09,0.9474670901384842,0.9474670901384842,0.5879054247056215,7700634543392.743
VOC,1,cae_pso,2008_003611_jpg.rf.3402370ad522dbd414ee836b95039b7b.jpg,0.8995879960749059,0.8995879960749059,0.7046695959566136,1614693896590866.8,0.4603978348361287,0.4603978348361286,0.27381963962346056,17754981396581.84,0.06672524883177133,0.06672524883177133,0.01615565893335602,18552794818924.09,0.06284289965816647,0.06284289965816645,-0.028512076916175078,7700634543392.743
VOC,1,bm3d,2008_003684_jpg.rf.89fe6eacfcbd42c040956f390fea33af.jpg,0.9998070115847273,0.9998070115847273,0.9983536841727205,2794307481785087.5,0.9992952403410591,0.9992952403410591,0.978882689582822,43587340362032.72,0.9991563041303447,0.9991563041303447,0.9532987467533092,12760367329405.61,0.9991874551952081,1.000812544804792,0.9086221631822308,6203298316965.039
VOC,1,gaussian_filter,2008_003684_jpg.rf.89fe6eacfcbd42c040956f390fea33af.jpg,0.9946227397835462,0.9946227397835462,0.9810117787227874,2794307481785087.5,0.3232821448478578,0.3232821448478578,0.5235081451741732,43587340362032.72,0.08291286644727724,0.0829128664472772,0.20179755550206402,12760367329405.61,0.06806450462704161,0.0680645046270417,0.06299555285996128,6203298316965.039
VOC,1,autoencoder,2008_003684_jpg.rf.89fe6eacfcbd42c040956f390fea33af.jpg,0.9328368782035401,0.9328368782035401,0.7578750866352515,2794307481785087.5,0.7559722176203261,0.7559722176203261,0.44981415999664476,43587340362032.72,0.2807990697402786,0.2807990697402785,0.0846436568882789,12760367329405.61,0.22562067077329984,0.2256206707732998,-0.004033415255173978,6203298316965.039
VOC,1,dncnn,2008_003684_jpg.rf.89fe6eacfcbd42c040956f390fea33af.jpg,0.9442601347614565,0.9442601347614565,0.7586650769295369,2794307481785087.5,0.9602678888670269,0.9602678888670269,0.6321925069783303,43587340362032.72,0.9828490307878759,1.0171509692121241,0.6365921596047486,12760367329405.61,0.9376628103100294,1.0623371896899707,0.5934840890054881,6203298316965.039
